,Player,Nation,Pos,Squad,Age,Match_Play,90s_played,Goals,Assist,Goals_Ass,Goal-Pen,Pen_Kick,xG,NoPen_XG,xAG,Prog_Car,Prog_Pas,Prog_Pas_Rec,Goals90,Asst90,Goal+Pas90,Goal-Pen90,xG90,xA90,NoPen_xG90
150,Shane Duffy,ie IRL,"DF,FW",Fulham,30,5,0.2,0,0,0,0,0,0.2,0.2,0.0,0,0,0,0.00,0.00,0.00,0.00,0.70,0.00,0.70
151,Lewis Dunk,eng ENG,DF,Brighton,30,36,36.0,1,0,1,1,0,1.7,1.7,1.0,19,158,5,0.03,0.00,0.03,0.03,0.05,0.03,0.05
152,Jhon Durán,co COL,"FW,MF",Aston Villa,18,12,1.5,0,0,0,0,0,0.6,0.6,0.0,4,4,13,0.00,0.00,0.00,0.00,0.37,0.02,0.37
153,Malcolm Ebiowei,eng ENG,"MF,FW",Crystal Palace,18,3,0.4,0,0,0,0,0,0.0,0.0,0.0,2,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00
154,Ederson,br BRA,GK,Manchester City,28,35,35.0,0,1,1,0,0,0.0,0.0,0.2,0,0,0,0.00,0.03,0.03,0.00,0.00,0.01,0.00
155,Odsonne Édouard,fr FRA,FW,Crystal Palace,24,35,20.0,5,2,7,5,0,4.2,4.2,1.2,29,32,100,0.25,0.10,0.35,0.25,0.21,0.06,0.21
156,Samuel Edozie,eng ENG,"FW,MF",Southampton,19,17,6.3,0,0,0,0,0,0.9,0.9,0.4,26,13,39,0.00,0.00,0.00,0.00,0.14,0.06,0.14
157,Anthony Elanga,se SWE,FW,Manchester Utd,20,16,4.7,0,1,1,0,0,0.7,0.7,0.9,12,8,28,0.00,0.21,0.21,0.00,0.15,0.19,0.15
158,Harvey Elliott,eng ENG,"MF,FW",Liverpool,19,32,17.9,1,2,3,1,0,2.1,2.1,3.6,54,142,129,0.06,0.11,0.17,0.06,0.12,0.20,0.12
159,Mohamed Elneny,eg EGY,MF,Arsenal,30,5,1.3,0,0,0,0,0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160,Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,27,33,24.1,1,1,2,1,0,3.5,3.5,2.1,56,50,98,0.04,0.04,0.08,0.04,0.15,0.09,0.15
161,Emerson,br BRA,DF,Tottenham,23,26,19.3,2,1,3,2,0,1.7,1.7,0.6,47,80,103,0.10,0.05,0.16,0.10,0.09,0.03,0.09
162,Christian Eriksen,dk DEN,MF,Manchester Utd,30,28,22.8,1,8,9,1,0,5.0,5.0,4.2,23,164,66,0.04,0.35,0.40,0.04,0.22,0.19,0.22
163,Pervis Estupiñán,ec ECU,DF,Brighton,24,35,29.7,1,5,6,1,0,1.7,1.7,5.4,91,157,183,0.03,0.17,0.20,0.03,0.06,0.18,0.06
164,Jonny Evans,nir NIR,DF,Leicester City,34,13,11.7,0,0,0,0,0,0.2,0.2,0.0,6,35,0,0.00,0.00,0.00,0.00,0.01,0.00,0.01
165,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,24,38,29.3,10,4,14,9,1,7.3,6.5,4.3,69,131,129,0.34,0.14,0.48,0.31,0.25,0.15,0.22
166,Łukasz Fabiański,pl POL,GK,West Ham,37,36,34.6,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
167,Fabinho,br BRA,MF,Liverpool,28,36,29.7,0,2,2,0,0,0.7,0.7,2.1,15,161,39,0.00,0.07,0.07,0.00,0.02,0.07,0.02
168,Wout Faes,be BEL,DF,Leicester City,24,31,31.0,1,2,3,1,0,1.2,1.2,0.6,11,74,2,0.03,0.06,0.10,0.03,0.04,0.02,0.04
169,Felipe,br BRA,DF,Nott'ham Forest,33,16,15.8,0,1,1,0,0,1.2,1.2,0.9,3,22,4,0.00,0.06,0.06,0.00,0.07,0.06,0.07
170,João Félix,pt POR,"FW,MF",Chelsea,22,16,10.5,4,0,4,4,0,4.9,4.9,0.5,34,47,79,0.38,0.00,0.38,0.38,0.47,0.05,0.47
171,Evan Ferguson,ie IRL,FW,Brighton,17,19,10.6,6,2,8,6,0,5.3,5.3,0.7,11,14,58,0.57,0.19,0.76,0.57,0.51,0.07,0.51
172,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,27,37,36.8,8,8,16,6,2,9.3,7.7,16.7,89,263,231,0.22,0.22,0.43,0.16,0.25,0.45,0.21
173,Enzo Fernández,ar ARG,MF,Chelsea,21,18,17.2,0,2,2,0,0,0.8,0.8,2.4,22,168,18,0.00,0.12,0.12,0.00,0.05,0.14,0.05
174,Roberto Firmino,br BRA,"FW,MF",Liverpool,30,25,13.5,11,4,15,11,0,5.5,5.5,2.5,16,78,96,0.82,0.30,1.11,0.82,0.41,0.19,0.41
175,Junior Firpo,es ESP,DF,Leeds United,25,19,15.2,1,1,2,1,0,0.1,0.1,0.8,20,54,34,0.07,0.07,0.13,0.07,0.01,0.05,0.01
176,Phil Foden,eng ENG,FW,Manchester City,22,32,20.5,11,6,17,11,0,5.9,5.9,4.7,68,88,275,0.54,0.29,0.83,0.54,0.29,0.23,0.29
177,Wesley Fofana,fr FRA,DF,Leicester City,21,2,2.0,0,0,0,0,0,0.1,0.1,0.0,3,6,1,0.00,0.00,0.00,0.00,0.06,0.00,0.06
178,Wesley Fofana,fr FRA,DF,Chelsea,21,15,13.1,1,0,1,1,0,0.7,0.7,0.1,29,43,12,0.08,0.00,0.08,0.08,0.05,0.00,0.05
179,Pablo Fornals,es ESP,"FW,MF",West Ham,26,32,16.7,3,1,4,3,0,2.2,2.2,1.7,33,89,101,0.18,0.06,0.24,0.18,0.13,0.10,0.13
180,Adam Forshaw,eng ENG,MF,Leeds United,30,12,5.3,0,0,0,0,0,0.0,0.0,0.9,4,33,7,0.00,0.00,0.00,0.00,0.01,0.17,0.01
181,Fraser Forster,eng ENG,GK,Tottenham,34,14,13.5,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
182,Tyrese Francois,au AUS,FW,Fulham,22,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
183,Ryan Fraser,sct SCO,FW,Newcastle Utd,28,8,3.5,0,0,0,0,0,0.3,0.3,0.4,8,9,23,0.00,0.00,0.00,0.00,0.09,0.11,0.09
184,Fred,br BRA,MF,Manchester Utd,29,35,13.9,2,2,4,2,0,2.0,2.0,2.9,10,76,50,0.14,0.14,0.29,0.14,0.14,0.21,0.14
185,Ryan Fredericks,eng ENG,DF,Bournemouth,29,12,5.9,0,0,0,0,0,0.0,0.0,0.1,13,15,28,0.00,0.00,0.00,0.00,0.00,0.02,0.00
186,Remo Freuler,ch SUI,MF,Nott'ham Forest,30,28,24.0,0,0,0,0,0,0.4,0.4,0.8,7,54,11,0.00,0.00,0.00,0.00,0.02,0.03,0.02
187,Cody Gakpo,nl NED,"FW,MF",Liverpool,23,21,16.2,7,2,9,7,0,6.2,6.2,2.7,36,50,109,0.43,0.12,0.56,0.43,0.38,0.17,0.38
188,Conor Gallagher,eng ENG,MF,Chelsea,22,35,18.0,3,1,4,3,0,2.5,2.5,2.3,40,105,104,0.17,0.06,0.22,0.17,0.14,0.13,0.14
189,Idrissa Gana Gueye,sn SEN,MF,Everton,32,33,28.6,0,1,1,0,0,0.7,0.7,1.1,27,98,19,0.00,0.03,0.03,0.00,0.03,0.04,0.03
190,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,18,19,6.3,3,2,5,3,0,3.0,3.0,1.0,33,12,85,0.47,0.32,0.79,0.47,0.48,0.16,0.48
191,James Garner,eng ENG,"MF,DF",Everton,21,16,8.9,0,1,1,0,0,0.8,0.8,0.5,8,33,18,0.00,0.11,0.11,0.00,0.09,0.06,0.09
192,David de Gea,es ESP,GK,Manchester Utd,31,38,38.0,0,0,0,0,0,0.0,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
193,Joe Gelhardt,eng ENG,FW,Leeds United,20,15,2.4,0,2,2,0,0,0.8,0.8,0.5,2,6,21,0.00,0.85,0.85,0.00,0.36,0.20,0.36
194,Saman Ghoddos,ir IRN,"MF,FW",Brentford,28,15,1.5,0,0,0,0,0,0.0,0.0,0.4,1,8,6,0.00,0.00,0.00,0.00,0.03,0.27,0.03
195,Morgan Gibbs-White,eng ENG,"FW,MF",Wolves,22,2,2.0,0,0,0,0,0,0.7,0.7,0.1,4,12,12,0.00,0.00,0.00,0.00,0.36,0.04,0.36
196,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,22,35,33.0,5,8,13,3,2,6.0,4.4,8.2,69,131,157,0.15,0.24,0.39,0.09,0.18,0.25,0.13
197,Bryan Gil,es ESP,"MF,FW",Tottenham,21,4,1.6,0,1,1,0,0,0.1,0.1,0.2,4,5,15,0.00,0.61,0.61,0.00,0.06,0.11,0.06
198,Billy Gilmour,sct SCO,MF,Brighton,21,14,5.6,0,1,1,0,0,0.5,0.5,0.2,5,35,4,0.00,0.18,0.18,0.00,0.09,0.04,0.09
199,Degnand Gnonto,it ITA,"FW,MF",Leeds United,18,24,15.0,2,4,6,2,0,1.8,1.8,2.2,66,35,136,0.13,0.27,0.40,0.13,0.12,0.15,0.12
200,Ben Godfrey,eng ENG,DF,Everton,24,13,8.9,0,1,1,0,0,1.2,1.2,0.2,9,19,7,0.00,0.11,0.11,0.00,0.14,0.02,0.14
201,João Gomes,br BRA,MF,Wolves,21,11,7.3,1,0,1,1,0,0.3,0.3,0.2,7,19,8,0.14,0.00,0.14,0.14,0.04,0.02,0.04
202,Toti Gomes,pt POR,DF,Wolves,23,17,10.9,1,0,1,1,0,0.4,0.4,0.3,4,27,23,0.09,0.00,0.09,0.09,0.04,0.02,0.04
203,Joe Gomez,eng ENG,DF,Liverpool,25,21,16.3,0,0,0,0,0,0.2,0.2,0.2,15,108,5,0.00,0.00,0.00,0.00,0.01,0.01,0.01
204,Sergio Gómez,es ESP,"DF,MF",Manchester City,21,12,3.9,0,1,1,0,0,0.4,0.4,1.2,10,18,20,0.00,0.26,0.26,0.00,0.09,0.30,0.09
205,Anthony Gordon,eng ENG,"FW,MF",Newcastle Utd,21,16,5.4,1,0,1,1,0,1.7,1.7,0.9,20,15,45,0.18,0.00,0.18,0.18,0.31,0.17,0.31
206,Anthony Gordon,eng ENG,FW,Everton,21,16,12.2,3,0,3,3,0,3.3,3.3,0.6,28,19,67,0.25,0.00,0.25,0.25,0.27,0.05,0.27
207,Demarai Gray,jm JAM,"FW,MF",Everton,26,33,27.9,4,1,5,2,2,6.2,4.7,3.8,94,46,199,0.14,0.04,0.18,0.07,0.22,0.14,0.17
208,Jack Grealish,eng ENG,FW,Manchester City,26,28,22.8,5,7,12,5,0,4.6,4.6,7.1,143,100,310,0.22,0.31,0.53,0.22,0.20,0.31,0.20
209,Sam Greenwood,eng ENG,"MF,FW",Leeds United,20,18,4.7,1,2,3,1,0,0.7,0.7,1.1,7,15,10,0.21,0.42,0.64,0.21,0.15,0.24,0.15
210,Pascal Groß,de GER,"MF,DF",Brighton,31,37,36.0,9,8,17,9,0,5.4,5.4,10.9,62,255,209,0.25,0.22,0.47,0.25,0.15,0.30,0.15
211,Vicente Guaita,es ESP,GK,Crystal Palace,35,27,27.0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
212,Gonçalo Guedes,pt POR,"FW,MF",Wolves,25,13,7.9,1,1,2,1,0,1.2,1.2,0.5,20,16,54,0.13,0.13,0.25,0.13,0.15,0.06,0.15
213,Marc Guéhi,eng ENG,DF,Crystal Palace,22,37,37.0,1,0,1,1,0,1.5,1.5,0.5,17,106,3,0.03,0.00,0.03,0.03,0.04,0.01,0.04
214,Bruno Guimarães,br BRA,MF,Newcastle Utd,24,32,30.3,4,5,9,4,0,2.8,2.8,4.0,41,222,42,0.13,0.17,0.30,0.13,0.09,0.13,0.09
215,İlkay Gündoğan,de GER,MF,Manchester City,31,31,26.1,8,4,12,8,0,7.5,6.7,3.3,53,170,124,0.31,0.15,0.46,0.31,0.29,0.12,0.26
216,Darko Gyabi,eng ENG,FW,Leeds United,18,1,0.1,0,0,0,0,0,0.1,0.1,0.0,0,2,0,0.00,0.00,0.00,0.00,0.72,0.00,0.72
217,Erling Haaland,no NOR,FW,Manchester City,22,35,30.8,36,8,44,29,7,28.4,23.0,5.3,35,58,151,1.17,0.26,1.43,0.94,0.92,0.17,0.75
218,Lewis Hall,eng ENG,DF,Chelsea,17,9,7.3,0,0,0,0,0,0.9,0.9,2.2,19,25,40,0.00,0.00,0.00,0.00,0.12,0.30,0.12
219,Luke Harris,wls WAL,"MF,FW",Fulham,17,3,0.1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
220,Jack Harrison,eng ENG,"FW,MF",Leeds United,25,36,30.1,5,7,12,5,0,4.7,4.7,5.1,103,103,255,0.17,0.23,0.40,0.17,0.16,0.17,0.16
221,Kai Havertz,de GER,"FW,MF",Chelsea,23,35,28.5,7,1,8,6,1,11.6,10.8,3.8,59,89,218,0.25,0.04,0.28,0.21,0.41,0.13,0.38
222,Jan Paul van Hecke,nl NED,DF,Brighton,22,8,3.3,0,0,0,0,0,0.6,0.6,0.0,3,21,0,0.00,0.00,0.00,0.00,0.18,0.00,0.18
223,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,26,27,12.6,3,1,4,3,0,2.9,2.9,1.1,25,30,60,0.24,0.08,0.32,0.24,0.23,0.09,0.23
224,Dean Henderson,eng ENG,GK,Nott'ham Forest,25,18,18.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
225,Jordan Henderson,eng ENG,MF,Liverpool,32,35,23.0,0,2,2,0,0,1.4,1.4,3.2,37,189,90,0.00,0.09,0.09,0.00,0.06,0.14,0.06
226,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,35,4,3.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
227,Rico Henry,eng ENG,DF,Brentford,25,37,36.0,0,2,2,0,0,1.6,1.6,2.7,55,107,111,0.00,0.06,0.06,0.00,0.04,0.07,0.04
228,Son Heung-min,kr KOR,"MF,FW",Tottenham,30,36,32.1,10,6,16,10,0,10.1,10.1,6.5,82,79,196,0.31,0.19,0.50,0.31,0.31,0.20,0.31
229,Aaron Hickey,sct SCO,DF,Brentford,20,26,21.3,0,1,1,0,0,0.4,0.4,0.4,41,81,47,0.00,0.05,0.05,0.00,0.02,0.02,0.02
230,Jack Hinshelwood,eng ENG,FW,Brighton,17,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
231,Joseph Hodge,ie IRL,MF,Wolves,19,6,1.9,0,0,0,0,0,0.3,0.3,0.1,1,8,5,0.00,0.00,0.00,0.00,0.13,0.03,0.13
232,Rob Holding,eng ENG,DF,Arsenal,26,14,6.3,1,0,1,1,0,0.3,0.3,0.0,3,24,2,0.16,0.00,0.16,0.16,0.05,0.00,0.05
233,Mason Holgate,eng ENG,DF,Everton,25,8,5.6,0,0,0,0,0,1.0,1.0,0.4,4,14,5,0.00,0.00,0.00,0.00,0.18,0.07,0.18
234,Will Hughes,eng ENG,MF,Crystal Palace,27,27,9.4,1,1,2,1,0,0.3,0.3,0.9,14,32,23,0.11,0.11,0.21,0.11,0.04,0.10,0.04
235,Omari Hutchinson,eng ENG,FW,Chelsea,18,1,0.3,0,0,0,0,0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.18,0.00
236,Pierre Højbjerg,dk DEN,MF,Tottenham,26,35,34.8,4,5,9,4,0,2.0,2.0,3.1,46,235,66,0.11,0.14,0.26,0.11,0.06,0.09,0.06
237,Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,25,28,12.5,5,5,10,4,1,7.1,6.3,4.0,33,27,99,0.40,0.40,0.80,0.32,0.57,0.32,0.51
238,Danny Ings,eng ENG,FW,West Ham,30,17,8.6,2,2,4,2,0,3.0,3.0,1.0,9,12,44,0.23,0.23,0.46,0.23,0.35,0.12,0.35
239,Danny Ings,eng ENG,FW,Aston Villa,30,18,9.2,6,0,6,4,2,5.3,3.8,1.2,15,12,46,0.66,0.00,0.66,0.44,0.59,0.13,0.41
240,Alexander Isak,se SWE,FW,Newcastle Utd,22,22,16.9,10,1,11,8,2,8.2,6.7,2.2,41,48,122,0.59,0.06,0.65,0.47,0.49,0.13,0.40
241,Daniel Iversen,dk DEN,GK,Leicester City,25,12,12.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
242,Alex Iwobi,ng NGA,"MF,FW",Everton,26,38,37.5,2,7,9,2,0,2.5,2.5,6.1,90,194,145,0.05,0.19,0.24,0.05,0.07,0.16,0.07
243,Daniel James,wls WAL,FW,Leeds United,24,4,2.2,0,0,0,0,0,0.3,0.3,0.3,6,3,9,0.00,0.00,0.00,0.00,0.12,0.15,0.12
244,Daniel James,wls WAL,FW,Fulham,24,20,6.9,2,1,3,2,0,1.7,1.7,0.7,24,15,48,0.29,0.14,0.43,0.29,0.25,0.11,0.25
245,Reece James,eng ENG,"DF,MF",Chelsea,22,16,13.8,1,1,2,1,0,1.0,1.0,3.0,52,90,115,0.07,0.07,0.14,0.07,0.07,0.22,0.07
246,Vitaly Janelt,de GER,"MF,DF",Brentford,24,35,24.5,3,1,4,3,0,2.4,2.4,1.4,14,82,28,0.12,0.04,0.16,0.12,0.10,0.06,0.10
247,Pontus Jansson,se SWE,DF,Brentford,31,12,8.0,1,0,1,1,0,0.3,0.3,0.0,1,14,0,0.12,0.00,0.12,0.12,0.04,0.00,0.04
248,Mathias Jensen,dk DEN,MF,Brentford,26,37,31.1,5,6,11,5,0,2.2,2.2,5.0,21,141,77,0.16,0.19,0.35,0.16,0.07,0.16,0.07
249,Gabriel Jesus,br BRA,FW,Arsenal,25,26,22.9,11,6,17,10,1,14.0,13.2,3.9,44,64,194,0.48,0.26,0.74,0.44,0.61,0.17,0.58
250,Raúl Jiménez,mx MEX,FW,Wolves,31,15,9.4,0,1,1,0,0,2.6,2.6,1.7,5,14,45,0.00,0.11,0.11,0.00,0.27,0.18,0.27
251,Joelinton,br BRA,"MF,FW",Newcastle Utd,25,32,29.6,6,1,7,6,0,7.1,7.1,2.4,64,130,150,0.20,0.03,0.24,0.20,0.24,0.08,0.24
252,Ben Johnson,eng ENG,DF,West Ham,22,17,9.6,0,0,0,0,0,0.1,0.1,0.2,15,37,22,0.00,0.00,0.00,0.00,0.01,0.02,0.01
253,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,21,38,32.6,8,3,11,7,1,8.6,6.2,3.2,88,30,155,0.25,0.09,0.34,0.21,0.26,0.10,0.19
254,Sam Johnstone,eng ENG,GK,Crystal Palace,29,9,9.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
255,Curtis Jones,eng ENG,MF,Liverpool,21,18,11.5,3,1,4,3,0,1.2,1.2,1.1,31,69,75,0.26,0.09,0.35,0.26,0.10,0.10,0.10
256,Jorginho,it ITA,MF,Arsenal,30,14,9.5,0,1,1,0,0,0.2,0.2,0.2,15,99,8,0.00,0.11,0.11,0.00,0.02,0.02,0.02
257,Jorginho,it ITA,MF,Chelsea,30,18,14.2,2,0,2,0,2,1.7,0.1,0.4,13,80,10,0.14,0.00,0.14,0.00,0.12,0.03,0.01
258,Mateo Joseph,eng ENG,"FW,MF",Leeds United,18,3,0.3,0,0,0,0,0,0.1,0.1,0.0,0,0,2,0.00,0.00,0.00,0.00,0.40,0.00,0.40
259,Diogo Jota,pt POR,FW,Liverpool,25,22,12.6,7,4,11,7,0,6.5,6.5,2.1,34,30,104,0.56,0.32,0.88,0.56,0.52,0.17,0.52
260,Hamed Junior Traorè,ci CIV,"FW,MF",Bournemouth,22,7,4.7,0,0,0,0,0,0.9,0.9,1.1,19,26,21,0.00,0.00,0.00,0.00,0.19,0.24,0.19
261,James Justin,eng ENG,DF,Leicester City,24,14,13.9,0,0,0,0,0,0.3,0.3,0.3,20,47,50,0.00,0.00,0.00,0.00,0.02,0.02,0.02
262,Mathias Jørgensen,dk DEN,DF,Brentford,32,18,12.3,0,0,0,0,0,0.9,0.9,0.2,1,35,1,0.00,0.00,0.00,0.00,0.07,0.01,0.07
263,Sasa Kalajdzic,at AUT,FW,Wolves,25,1,0.5,0,0,0,0,0,0.3,0.3,0.0,0,0,1,0.00,0.00,0.00,0.00,0.53,0.00,0.53
264,Boubacar Kamara,fr FRA,MF,Aston Villa,22,24,19.7,0,1,1,0,0,0.2,0.2,0.8,16,84,8,0.00,0.05,0.05,0.00,0.01,0.04,0.01
265,Harry Kane,eng ENG,FW,Tottenham,29,38,37.8,30,3,33,25,5,21.5,16.7,7.0,60,180,193,0.79,0.08,0.87,0.66,0.57,0.18,0.44
266,N'Golo Kanté,fr FRA,MF,Chelsea,31,7,5.8,0,1,1,0,0,0.3,0.3,1.9,19,34,36,0.00,0.17,0.17,0.00,0.05,0.32,0.05
267,Michael Keane,eng ENG,DF,Everton,29,12,10.9,1,2,3,1,0,1.3,1.3,0.7,2,31,4,0.09,0.18,0.27,0.09,0.12,0.07,0.12
268,Neeskens Kebano,cd COD,FW,Fulham,30,17,8.5,0,3,3,0,0,0.5,0.5,1.5,39,24,68,0.00,0.35,0.35,0.00,0.06,0.18,0.06
269,Thilo Kehrer,de GER,DF,West Ham,25,27,24.8,0,2,2,0,0,0.5,0.5,0.6,15,60,29,0.00,0.08,0.08,0.00,0.02,0.03,0.02
270,Naby Keïta,gn GUI,MF,Liverpool,27,8,3.3,0,0,0,0,0,0.6,0.6,0.7,5,15,21,0.00,0.00,0.00,0.00,0.20,0.22,0.20
271,Caoimhín Kelleher,ie IRL,GK,Liverpool,23,1,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
272,Lloyd Kelly,eng ENG,DF,Bournemouth,23,23,22.7,0,2,2,0,0,0.2,0.2,0.5,14,47,10,0.00,0.09,0.09,0.00,0.01,0.02,0.01
273,Max Kilman,eng ENG,DF,Wolves,25,37,36.7,0,0,0,0,0,1.3,1.3,0.2,30,127,5,0.00,0.00,0.00,0.00,0.04,0.01,0.04
274,Jakub Kiwior,pl POL,DF,Arsenal,22,7,4.7,1,0,1,1,0,0.1,0.1,0.0,0,6,6,0.21,0.00,0.21,0.21,0.02,0.01,0.02
275,Mateusz Klich,pl POL,"MF,FW",Leeds United,32,14,3.1,0,0,0,0,0,0.2,0.2,0.2,5,16,21,0.00,0.00,0.00,0.00,0.05,0.06,0.05
276,Robin Koch,de GER,DF,Leeds United,26,36,35.3,0,0,0,0,0,1.5,1.5,0.4,11,114,11,0.00,0.00,0.00,0.00,0.04,0.01,0.04
277,Ibrahima Konaté,fr FRA,DF,Liverpool,23,18,17.2,0,0,0,0,0,1.2,1.2,0.1,7,56,5,0.00,0.00,0.00,0.00,0.07,0.01,0.07
278,Ezri Konsa,eng ENG,DF,Aston Villa,24,38,36.9,0,0,0,0,0,1.1,1.1,1.3,7,56,11,0.00,0.00,0.00,0.00,0.03,0.03,0.03
279,Kalidou Koulibaly,sn SEN,DF,Chelsea,31,23,20.0,2,1,3,2,0,0.9,0.9,0.4,10,81,4,0.10,0.05,0.15,0.10,0.05,0.02,0.05
280,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,32,21,9.8,1,0,1,1,0,0.4,0.4,0.7,6,19,14,0.10,0.00,0.10,0.10,0.04,0.07,0.04
281,Mateo Kovačić,hr CRO,MF,Chelsea,28,27,19.0,1,2,3,1,0,1.8,1.8,2.1,37,153,30,0.05,0.11,0.16,0.05,0.09,0.11,0.09
282,Emil Krafth,se SWE,DF,Newcastle Utd,27,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
283,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,22,30,23.0,2,7,9,2,0,2.6,2.6,4.7,87,67,195,0.09,0.30,0.39,0.09,0.11,0.20,0.11
284,Layvin Kurzawa,fr FRA,DF,Fulham,29,3,1.5,0,0,0,0,0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
285,Adam Lallana,eng ENG,"MF,FW",Brighton,34,16,8.0,2,1,3,2,0,0.9,0.9,1.0,10,33,43,0.25,0.12,0.37,0.25,0.11,0.12,0.11
286,Tariq Lamptey,gh GHA,DF,Brighton,21,20,5.0,0,0,0,0,0,0.2,0.2,0.2,28,26,58,0.00,0.00,0.00,0.00,0.04,0.04,0.04
287,Manuel Lanzini,ar ARG,"MF,FW",West Ham,29,10,2.8,1,0,1,1,0,0.5,0.5,0.2,2,19,6,0.36,0.00,0.36,0.36,0.19,0.06,0.19
288,Aymeric Laporte,es ESP,DF,Manchester City,28,12,11.0,0,0,0,0,0,0.5,0.5,0.2,30,85,11,0.00,0.00,0.00,0.00,0.04,0.02,0.04
289,Juan Larios,es ESP,DF,Southampton,18,5,1.7,0,0,0,0,0,0.0,0.0,0.0,10,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
290,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,28,7,2.4,0,0,0,0,0,0.1,0.1,0.0,0,3,0,0.00,0.00,0.00,0.00,0.04,0.00,0.04
291,Roméo Lavia,be BEL,MF,Southampton,18,29,24.7,1,0,1,1,0,0.4,0.4,0.6,22,102,14,0.04,0.00,0.04,0.04,0.02,0.03,0.02
292,Dexter Lembikisa,jm JAM,DF,Wolves,18,1,0.3,0,0,0,0,0,0.0,0.0,0.0,2,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
293,Mario Lemina,ga GAB,MF,Wolves,28,19,14.4,0,1,1,0,0,0.3,0.3,0.3,6,42,9,0.00,0.07,0.07,0.00,0.02,0.02,0.02
294,Clément Lenglet,fr FRA,DF,Tottenham,27,26,22.4,0,2,2,0,0,1.0,1.0,0.6,33,85,7,0.00,0.09,0.09,0.00,0.04,0.03,0.04
295,Bernd Leno,de GER,GK,Fulham,30,36,36.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
296,Jefferson Lerma,co COL,MF,Bournemouth,27,37,36.1,5,0,5,5,0,2.6,2.6,2.3,22,142,30,0.14,0.00,0.14,0.14,0.07,0.06,0.07
297,Jamal Lewis,nir NIR,"DF,FW",Newcastle Utd,24,2,0.1,0,0,0,0,0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
298,Rico Lewis,eng ENG,"DF,MF",Manchester City,17,14,10.0,0,0,0,0,0,0.2,0.2,1.5,22,48,26,0.00,0.00,0.00,0.00,0.02,0.15,0.02
299,Keane Lewis-Potter,eng ENG,"FW,MF",Brentford,21,10,3.6,0,1,1,0,0,0.5,0.5,1.2,8,6,39,0.00,0.28,0.28,0.00,0.14,0.35,0.14
300,Victor Lindelöf,se SWE,DF,Manchester Utd,28,20,15.2,0,0,0,0,0,0.3,0.3,0.1,3,36,1,0.00,0.00,0.00,0.00,0.02,0.01,0.02
301,Jesse Lingard,eng ENG,"FW,MF",Nott'ham Forest,29,17,10.3,0,0,0,0,0,1.0,1.0,0.7,11,33,38,0.00,0.00,0.00,0.00,0.10,0.07,0.10
