,Player,Nation,Pos,Squad,Age,90s_played,TotalAtt_Pass,TotalComp_Passes,Pass_Blocked,Live_Passes,Dead_Passes,Switches_Pass,Cross_Passes
214,Bruno Guimarães,br BRA,MF,Newcastle Utd,24,30.3,1668,1387,29,1617,42,20,22
215,İlkay Gündoğan,de GER,MF,Manchester City,31,26.1,1578,1374,27,1519,56,6,30
216,Darko Gyabi,eng ENG,FW,Leeds United,18,0.1,4,4,0,4,0,0,0
217,Erling Haaland,no NOR,FW,Manchester City,22,30.8,500,360,21,449,45,0,12
218,Lewis Hall,eng ENG,DF,Chelsea,17,7.3,427,343,8,369,57,3,34
219,Luke Harris,wls WAL,"MF,FW",Fulham,17,0.1,14,13,0,14,0,0,1
220,Jack Harrison,eng ENG,"FW,MF",Leeds United,25,30.1,1150,732,55,1012,131,11,186
221,Kai Havertz,de GER,"FW,MF",Chelsea,23,28.5,894,727,24,850,41,4,14
222,Jan Paul van Hecke,nl NED,DF,Brighton,22,3.3,248,232,3,242,5,0,0
223,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,26,12.6,280,214,9,266,13,1,10
224,Dean Henderson,eng ENG,GK,Nott'ham Forest,25,18.0,671,425,0,455,214,0,0
225,Jordan Henderson,eng ENG,MF,Liverpool,32,23.0,1615,1341,32,1554,53,11,45
226,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,35,3.0,99,61,0,63,34,0,0
227,Rico Henry,eng ENG,DF,Brentford,25,36.0,1203,876,21,1059,138,2,87
228,Son Heung-min,kr KOR,"MF,FW",Tottenham,30,32.1,909,680,28,780,123,0,113
229,Aaron Hickey,sct SCO,DF,Brentford,20,21.3,838,695,17,743,93,1,27
230,Jack Hinshelwood,eng ENG,FW,Brighton,17,0.0,3,1,0,3,0,0,0
231,Joseph Hodge,ie IRL,MF,Wolves,19,1.9,100,80,4,96,2,0,1
232,Rob Holding,eng ENG,DF,Arsenal,26,6.3,442,382,3,430,10,2,0
233,Mason Holgate,eng ENG,DF,Everton,25,5.6,217,143,2,191,24,5,2
234,Will Hughes,eng ENG,MF,Crystal Palace,27,9.4,373,296,12,355,16,0,12
235,Omari Hutchinson,eng ENG,FW,Chelsea,18,0.3,13,9,1,13,0,0,2
236,Pierre Højbjerg,dk DEN,MF,Tottenham,26,34.8,2292,2021,28,2206,81,39,15
237,Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,25,12.5,316,236,12,304,9,3,6
238,Danny Ings,eng ENG,FW,West Ham,30,8.6,148,92,8,146,2,1,0
239,Danny Ings,eng ENG,FW,Aston Villa,30,9.2,162,114,6,152,10,0,4
240,Alexander Isak,se SWE,FW,Newcastle Utd,22,16.9,368,279,12,338,25,2,7
241,Daniel Iversen,dk DEN,GK,Leicester City,25,12.0,377,212,1,214,161,1,0
242,Alex Iwobi,ng NGA,"MF,FW",Everton,26,37.5,1536,1154,46,1469,58,13,104
243,Daniel James,wls WAL,FW,Leeds United,24,2.2,40,24,4,40,0,0,6
244,Daniel James,wls WAL,FW,Fulham,24,6.9,186,120,16,182,4,0,26
245,Reece James,eng ENG,"DF,MF",Chelsea,22,13.8,1051,891,16,896,151,5,91
246,Vitaly Janelt,de GER,"MF,DF",Brentford,24,24.5,1020,812,21,986,29,17,22
247,Pontus Jansson,se SWE,DF,Brentford,31,8.0,321,257,3,309,11,0,0
248,Mathias Jensen,dk DEN,MF,Brentford,26,31.1,1566,1088,25,1158,401,28,158
249,Gabriel Jesus,br BRA,FW,Arsenal,25,22.9,699,561,19,635,62,5,11
250,Raúl Jiménez,mx MEX,FW,Wolves,31,9.4,198,140,5,173,25,2,5
251,Joelinton,br BRA,"MF,FW",Newcastle Utd,25,29.6,1268,1035,40,1227,38,4,16
252,Ben Johnson,eng ENG,DF,West Ham,22,9.6,535,395,12,463,71,7,16
253,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,21,32.6,505,291,27,480,23,2,58
254,Sam Johnstone,eng ENG,GK,Crystal Palace,29,9.0,280,207,0,213,66,0,0
255,Curtis Jones,eng ENG,MF,Liverpool,21,11.5,677,611,7,664,12,3,9
256,Jorginho,it ITA,MF,Arsenal,30,9.5,736,641,8,718,16,2,2
