,Player,Nation,Pos,Squad,Age,90s_played,Goals,Tot_Shot,Shot_On_Target,Shot_Target_Rate,TotalShotPer90,ShotTargetPer90,Goal/TotShot,Goal/ShotTarget,Penalty,Att_Penalty,xG,NoPen_xG,NoPen_xGperShot,Goal-xG,NoPen_Goal-xG
111,Conor Coventry,ie IRL,"MF,FW",West Ham,22,0.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
112,Matthew Craig,sct SCO,MF,Tottenham,19,0.2,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
113,Aaron Cresswell,eng ENG,DF,West Ham,32,24.8,0,9,1,11.1,0.36,0.04,0.00,0.00,0,0,0.3,0.3,0.04,-0.3,-0.3
114,Marc Cucurella,es ESP,DF,Chelsea,24,18.6,0,7,0,0.0,0.38,0.00,0.00,,0,0,0.4,0.4,0.06,-0.4,-0.4
115,Matheus Cunha,br BRA,FW,Wolves,23,10.7,2,26,7,26.9,2.42,0.65,0.08,0.29,0,0,2.0,2.0,0.08,0.0,0.0
116,Patson Daka,zm ZAM,FW,Leicester City,23,13.2,4,30,16,53.3,2.27,1.21,0.13,0.25,0,0,3.5,3.5,0.12,+0.5,+0.5
117,Diogo Dalot,pt POR,DF,Manchester Utd,23,23.9,1,22,7,31.8,0.92,0.29,0.05,0.14,0,0,2.5,2.5,0.11,-1.5,-1.5
118,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,22,11.0,0,12,5,41.7,1.09,0.46,0.00,0.00,0,0,2.6,2.6,0.22,-2.6,-2.6
119,Danilo,br BRA,MF,Nott'ham Forest,21,10.8,3,15,4,26.7,1.38,0.37,0.20,0.75,0,0,1.5,1.5,0.10,+1.5,+1.5
120,Arnaut Danjuma,nl NED,"FW,MF",Tottenham,25,1.9,1,6,3,50.0,3.20,1.60,0.17,0.33,0,0,0.8,0.8,0.13,+0.2,+0.2
121,Josh Dasilva,eng ENG,MF,Brentford,23,15.4,4,18,6,33.3,1.17,0.39,0.22,0.67,0,0,1.5,1.5,0.09,+2.5,+2.5
122,David Datro Fofana,ci CIV,FW,Chelsea,19,0.8,0,3,1,33.3,3.86,1.29,0.00,0.00,0,0,0.2,0.2,0.08,-0.2,-0.2
123,Ben Davies,wls WAL,DF,Tottenham,29,25.4,2,14,5,35.7,0.55,0.20,0.14,0.40,0,0,1.0,1.0,0.07,+1.0,+1.0
124,Tom Davies,eng ENG,MF,Everton,24,6.0,0,9,2,22.2,1.51,0.33,0.00,0.00,0,0,1.2,1.2,0.13,-1.2,-1.2
125,Craig Dawson,eng ENG,DF,West Ham,32,8.0,0,6,1,16.7,0.75,0.12,0.00,0.00,0,0,0.5,0.5,0.08,-0.5,-0.5
126,Craig Dawson,eng ENG,DF,Wolves,32,15.7,1,11,2,18.2,0.70,0.13,0.09,0.50,0,0,1.0,1.0,0.09,0.0,0.0
127,Kevin De Bruyne,be BEL,MF,Manchester City,31,26.9,7,65,21,32.3,2.42,0.78,0.11,0.33,0,0,5.6,5.6,0.09,+1.4,+1.4
128,Siriki Dembélé,ci CIV,"FW,MF",Bournemouth,25,1.2,0,2,2,100.0,1.64,1.64,0.00,0.00,0,0,0.2,0.2,0.09,-0.2,-0.2
129,Leander Dendoncker,be BEL,MF,Aston Villa,27,7.7,0,2,0,0.0,0.26,0.00,0.00,,0,0,0.1,0.1,0.03,-0.1,-0.1
130,Leander Dendoncker,be BEL,MF,Wolves,27,2.4,0,3,2,66.7,1.26,0.84,0.00,0.00,0,0,0.7,0.7,0.22,-0.7,-0.7
131,Emmanuel Dennis,ng NGA,"FW,MF",Nott'ham Forest,24,8.0,2,21,7,33.3,2.62,0.87,0.10,0.29,0,0,1.9,1.9,0.09,+0.1,+0.1
132,Halil Dervişoğlu,tr TUR,MF,Brentford,22,0.1,0,1,0,0.0,11.25,0.00,0.00,,0,0,0.0,0.0,0.03,0.0,0.0
133,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,23,25.6,2,26,6,23.1,1.01,0.23,0.08,0.33,0,0,2.4,2.4,0.09,-0.4,-0.4
134,Ibrahima Diallo,fr FRA,MF,Southampton,23,9.1,0,6,0,0.0,0.66,0.00,0.00,,0,0,0.2,0.2,0.03,-0.2,-0.2
135,Rúben Dias,pt POR,DF,Manchester City,25,22.2,0,10,2,20.0,0.45,0.09,0.00,0.00,0,0,1.3,1.3,0.13,-1.3,-1.3
136,Luis Díaz,co COL,FW,Liverpool,25,11.1,4,27,8,29.6,2.44,0.72,0.15,0.50,0,0,2.5,2.5,0.09,+1.5,+1.5
137,Eric Dier,eng ENG,DF,Tottenham,28,31.3,2,17,4,23.5,0.54,0.13,0.12,0.50,0,0,1.6,1.6,0.10,+0.4,+0.4
138,Lucas Digne,fr FRA,DF,Aston Villa,29,16.7,1,8,3,37.5,0.48,0.18,0.13,0.33,0,0,0.4,0.4,0.05,+0.6,+0.6
139,Issa Diop,fr FRA,DF,Fulham,25,22.4,1,3,2,66.7,0.13,0.09,0.33,0.50,0,0,0.3,0.3,0.09,+0.7,+0.7
140,Moussa Djenepo,ml MLI,"DF,FW",Southampton,24,7.9,0,3,2,66.7,0.38,0.25,0.00,0.00,0,0,0.2,0.2,0.06,-0.2,-0.2
141,Ben Doak,sct SCO,FW,Liverpool,16,0.3,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
142,Matt Doherty,ie IRL,"DF,MF",Tottenham,30,7.4,1,10,2,20.0,1.35,0.27,0.10,0.50,0,0,0.8,0.8,0.08,+0.2,+0.2
143,Gabriel Dos Santos,br BRA,DF,Arsenal,24,37.9,3,32,9,28.1,0.84,0.24,0.09,0.33,0,0,5.1,5.1,0.16,-2.1,-2.1
144,Abdoulaye Doucouré,ml MLI,MF,Everton,29,17.0,5,20,8,40.0,1.17,0.47,0.25,0.63,0,0,2.4,2.4,0.12,+2.6,+2.6
145,Cheick Doucouré,ml MLI,MF,Crystal Palace,22,30.8,0,36,7,19.4,1.17,0.23,0.00,0.00,0,0,1.4,1.4,0.04,-1.4,-1.4
146,Flynn Downes,eng ENG,MF,West Ham,23,8.5,0,4,1,25.0,0.47,0.12,0.00,0.00,0,0,0.4,0.4,0.11,-0.4,-0.4
147,Kami Doyle,eng ENG,MF,Southampton,16,0.1,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
148,Cody Drameh,eng ENG,DF,Leeds United,20,0.8,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
149,Martin Dúbravka,sk SVK,GK,Newcastle Utd,33,1.7,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
150,Shane Duffy,ie IRL,"DF,FW",Fulham,30,0.2,0,1,0,0.0,4.50,0.00,0.00,,0,0,0.2,0.2,0.16,-0.2,-0.2
151,Lewis Dunk,eng ENG,DF,Brighton,30,36.0,1,22,3,13.6,0.61,0.08,0.05,0.33,0,0,1.7,1.7,0.08,-0.7,-0.7
152,Jhon Durán,co COL,"FW,MF",Aston Villa,18,1.5,0,7,2,28.6,4.63,1.32,0.00,0.00,0,0,0.6,0.6,0.08,-0.6,-0.6
153,Malcolm Ebiowei,eng ENG,"MF,FW",Crystal Palace,18,0.4,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
154,Ederson,br BRA,GK,Manchester City,28,35.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
